Run,Age,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,source_name,SRA Study,Strain,TISSUE
SRR6636421,E14.5,RNA-Seq,100,395381300,PRJNA432054,SAMN08429426,270873792,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3624108,GSM2967666,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2018-03-07T00:00:00Z,GSM2967666,Brain,SRP131682,CD1,"dMGE,Brain"
SRR6636422,E14.5,RNA-Seq,100,44930200,PRJNA432054,SAMN08429425,31274491,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3624109,GSM2967667,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2018-03-07T00:00:00Z,GSM2967667,Brain,SRP131682,CD1,"dMGE,Brain"
SRR6636423,E14.5,RNA-Seq,100,152446000,PRJNA432054,SAMN08429424,105605129,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3624110,GSM2967668,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2018-03-07T00:00:00Z,GSM2967668,Brain,SRP131682,CD1,"dMGE,Brain"
SRR6636424,E14.5,RNA-Seq,100,239018300,PRJNA432054,SAMN08429423,165609264,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3624111,GSM2967669,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2018-03-07T00:00:00Z,GSM2967669,Brain,SRP131682,CD1,"dMGE,Brain"
SRR6636425,E14.5,RNA-Seq,100,130390300,PRJNA432054,SAMN08429422,82512988,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3624112,GSM2967670,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2018-03-07T00:00:00Z,GSM2967670,Brain,SRP131682,CD1,"dMGE,Brain"
SRR6636426,E14.5,RNA-Seq,100,165158900,PRJNA432054,SAMN08429421,103318363,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3624113,GSM2967671,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2018-03-07T00:00:00Z,GSM2967671,Brain,SRP131682,CD1,"dMGE,Brain"
SRR6636427,E14.5,RNA-Seq,100,133359900,PRJNA432054,SAMN08429420,83194950,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3624114,GSM2967672,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2018-03-07T00:00:00Z,GSM2967672,Brain,SRP131682,CD1,"dMGE,Brain"
SRR6636428,E14.5,RNA-Seq,100,86967000,PRJNA432054,SAMN08429419,55042199,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3624115,GSM2967673,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2018-03-07T00:00:00Z,GSM2967673,Brain,SRP131682,CD1,"dMGE,Brain"
SRR6636429,E14.5,RNA-Seq,100,134502400,PRJNA432054,SAMN08429418,83541802,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3624116,GSM2967674,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2018-03-07T00:00:00Z,GSM2967674,Brain,SRP131682,CD1,"dMGE,Brain"
SRR6636430,E14.5,RNA-Seq,100,62681700,PRJNA432054,SAMN08429417,39608513,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3624117,GSM2967675,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2018-03-07T00:00:00Z,GSM2967675,Brain,SRP131682,CD1,"Brain,dMGE"
SRR6636431,E14.5,RNA-Seq,100,117348600,PRJNA432054,SAMN08429416,74209728,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3624118,GSM2967676,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2018-03-07T00:00:00Z,GSM2967676,Brain,SRP131682,CD1,"dMGE,Brain"
SRR6636432,E14.5,RNA-Seq,100,116211500,PRJNA432054,SAMN08429388,73001739,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3624119,GSM2967677,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2018-03-07T00:00:00Z,GSM2967677,Brain,SRP131682,CD1,"dMGE,Brain"
SRR6636433,E14.5,RNA-Seq,100,164391700,PRJNA432054,SAMN08429387,103261689,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3624120,GSM2967678,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2018-03-07T00:00:00Z,GSM2967678,Brain,SRP131682,CD1,"dMGE,Brain"
SRR6636434,E14.5,RNA-Seq,100,107274500,PRJNA432054,SAMN08429380,67157808,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3624121,GSM2967679,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2018-03-07T00:00:00Z,GSM2967679,Brain,SRP131682,CD1,"dMGE,Brain"
SRR6636435,E14.5,RNA-Seq,100,80544300,PRJNA432054,SAMN08429379,55379311,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3624122,GSM2967680,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2018-03-07T00:00:00Z,GSM2967680,Brain,SRP131682,CD1,"dMGE,Brain"
SRR6636436,E14.5,RNA-Seq,100,165573100,PRJNA432054,SAMN08429386,107611960,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3624123,GSM2967681,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2018-03-07T00:00:00Z,GSM2967681,Brain,SRP131682,CD1,"dMGE,Brain"
SRR6636437,E14.5,RNA-Seq,100,126579800,PRJNA432054,SAMN08429385,78763211,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3624124,GSM2967682,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2018-03-07T00:00:00Z,GSM2967682,Brain,SRP131682,CD1,"dMGE,Brain"
SRR6636438,E14.5,RNA-Seq,100,302458500,PRJNA432054,SAMN08429384,184848108,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3624125,GSM2967683,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2018-03-07T00:00:00Z,GSM2967683,Brain,SRP131682,CD1,"dMGE,Brain"
SRR6636439,E14.5,RNA-Seq,100,112781200,PRJNA432054,SAMN08429383,70057172,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3624126,GSM2967684,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2018-03-07T00:00:00Z,GSM2967684,Brain,SRP131682,CD1,"dMGE,Brain"
SRR6636440,E14.5,RNA-Seq,100,133804500,PRJNA432054,SAMN08429382,84369906,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3624127,GSM2967685,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2018-03-07T00:00:00Z,GSM2967685,Brain,SRP131682,CD1,"dMGE,Brain"
SRR6636441,E14.5,RNA-Seq,100,114707900,PRJNA432054,SAMN08429381,71550751,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3624128,GSM2967686,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2018-03-07T00:00:00Z,GSM2967686,Brain,SRP131682,CD1,"dMGE,Brain"
SRR6636442,E14.5,RNA-Seq,100,125815600,PRJNA432054,SAMN08429378,81251635,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3624129,GSM2967687,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2018-03-07T00:00:00Z,GSM2967687,Brain,SRP131682,CD1,"dMGE,Brain"
SRR6636443,E14.5,RNA-Seq,100,174884000,PRJNA432054,SAMN08429377,109681782,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3624130,GSM2967688,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2018-03-07T00:00:00Z,GSM2967688,Brain,SRP131682,CD1,"dMGE,Brain"
SRR6636444,E14.5,RNA-Seq,100,118476700,PRJNA432054,SAMN08429376,74749567,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3624131,GSM2967689,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2018-03-07T00:00:00Z,GSM2967689,Brain,SRP131682,CD1,"dMGE,Brain"
SRR6636445,E14.5,RNA-Seq,100,156496300,PRJNA432054,SAMN08429375,97453995,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3624132,GSM2967690,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2018-03-07T00:00:00Z,GSM2967690,Brain,SRP131682,CD1,"dMGE,Brain"
SRR6636446,E14.5,RNA-Seq,100,174413100,PRJNA432054,SAMN08429374,109459033,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3624133,GSM2967691,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2018-03-07T00:00:00Z,GSM2967691,Brain,SRP131682,CD1,"dMGE,Brain"
SRR6636447,E14.5,RNA-Seq,100,131867000,PRJNA432054,SAMN08429373,83169661,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3624134,GSM2967692,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2018-03-07T00:00:00Z,GSM2967692,Brain,SRP131682,CD1,"dMGE,Brain"
SRR6636448,E14.5,RNA-Seq,100,132397700,PRJNA432054,SAMN08429372,83418614,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3624135,GSM2967693,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2018-03-07T00:00:00Z,GSM2967693,Brain,SRP131682,CD1,"dMGE,Brain"
SRR6636449,E14.5,RNA-Seq,100,113074800,PRJNA432054,SAMN08428988,71322025,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3624136,GSM2967694,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2018-03-07T00:00:00Z,GSM2967694,Brain,SRP131682,CD1,"dMGE,Brain"
SRR6636450,E14.5,RNA-Seq,100,144949000,PRJNA432054,SAMN08429467,90460098,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3624137,GSM2967695,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2018-03-07T00:00:00Z,GSM2967695,Brain,SRP131682,CD1,"dMGE,Brain"
SRR6636451,E14.5,RNA-Seq,100,125492400,PRJNA432054,SAMN08429466,78914836,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3624138,GSM2967696,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2018-03-07T00:00:00Z,GSM2967696,Brain,SRP131682,CD1,"dMGE,Brain"
SRR6636452,E14.5,RNA-Seq,100,127016900,PRJNA432054,SAMN08429465,79786672,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3624139,GSM2967697,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2018-03-07T00:00:00Z,GSM2967697,Brain,SRP131682,CD1,"dMGE,Brain"
SRR6636453,E14.5,RNA-Seq,100,189203200,PRJNA432054,SAMN08429464,117320669,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3624140,GSM2967698,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2018-03-07T00:00:00Z,GSM2967698,Brain,SRP131682,CD1,"dMGE,Brain"
SRR6636454,E14.5,RNA-Seq,100,203132000,PRJNA432054,SAMN08429463,125683874,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3624141,GSM2967699,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2018-03-07T00:00:00Z,GSM2967699,Brain,SRP131682,CD1,"dMGE,Brain"
SRR6636455,E14.5,RNA-Seq,100,119536800,PRJNA432054,SAMN08429462,74679032,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3624142,GSM2967700,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2018-03-07T00:00:00Z,GSM2967700,Brain,SRP131682,CD1,"dMGE,Brain"
SRR6636456,E14.5,RNA-Seq,100,126975500,PRJNA432054,SAMN08429461,79439936,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3624143,GSM2967701,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2018-03-07T00:00:00Z,GSM2967701,Brain,SRP131682,CD1,"dMGE,Brain"
SRR6636457,E14.5,RNA-Seq,100,104104100,PRJNA432054,SAMN08429460,65121663,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3624144,GSM2967702,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2018-03-07T00:00:00Z,GSM2967702,Brain,SRP131682,CD1,"dMGE,Brain"
SRR6636458,E14.5,RNA-Seq,100,90452600,PRJNA432054,SAMN08429459,57092116,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3624145,GSM2967703,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2018-03-07T00:00:00Z,GSM2967703,Brain,SRP131682,CD1,"dMGE,Brain"
SRR6636459,E14.5,RNA-Seq,100,109682700,PRJNA432054,SAMN08429458,69318731,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3624146,GSM2967704,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2018-03-07T00:00:00Z,GSM2967704,Brain,SRP131682,CD1,"dMGE,Brain"
SRR6636460,E14.5,RNA-Seq,100,115994800,PRJNA432054,SAMN08429457,72580839,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3624147,GSM2967705,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2018-03-07T00:00:00Z,GSM2967705,Brain,SRP131682,CD1,"dMGE,Brain"
SRR6636461,E14.5,RNA-Seq,100,122293800,PRJNA432054,SAMN08429456,77345210,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3624148,GSM2967706,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2018-03-07T00:00:00Z,GSM2967706,Brain,SRP131682,CD1,"dMGE,Brain"
SRR6636462,E14.5,RNA-Seq,100,135882800,PRJNA432054,SAMN08428946,85435466,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3624149,GSM2967707,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2018-03-07T00:00:00Z,GSM2967707,Brain,SRP131682,CD1,"dMGE,Brain"
SRR6636463,E14.5,RNA-Seq,100,154370200,PRJNA432054,SAMN08428945,97172625,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3624150,GSM2967708,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2018-03-07T00:00:00Z,GSM2967708,Brain,SRP131682,CD1,"dMGE,Brain"
SRR6636464,E14.5,RNA-Seq,100,184090500,PRJNA432054,SAMN08428944,114274435,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3624151,GSM2967709,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2018-03-07T00:00:00Z,GSM2967709,Brain,SRP131682,CD1,"dMGE,Brain"
SRR6636465,E14.5,RNA-Seq,100,140695800,PRJNA432054,SAMN08429408,89548638,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3624152,GSM2967710,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2018-03-07T00:00:00Z,GSM2967710,Brain,SRP131682,CD1,"dMGE,Brain"
SRR6636466,E14.5,RNA-Seq,100,97236900,PRJNA432054,SAMN08429415,61029177,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3624153,GSM2967711,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2018-03-07T00:00:00Z,GSM2967711,Brain,SRP131682,CD1,"dMGE,Brain"
SRR6636467,E14.5,RNA-Seq,100,107010000,PRJNA432054,SAMN08429414,67491923,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3624154,GSM2967712,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2018-03-07T00:00:00Z,GSM2967712,Brain,SRP131682,CD1,"dMGE,Brain"
SRR6636468,E14.5,RNA-Seq,100,132055800,PRJNA432054,SAMN08429413,83196369,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3624155,GSM2967713,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2018-03-07T00:00:00Z,GSM2967713,Brain,SRP131682,CD1,"dMGE,Brain"
SRR6636469,E14.5,RNA-Seq,100,111153900,PRJNA432054,SAMN08429412,70348545,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3624156,GSM2967714,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2018-03-07T00:00:00Z,GSM2967714,Brain,SRP131682,CD1,"dMGE,Brain"
SRR6636470,E14.5,RNA-Seq,100,141027900,PRJNA432054,SAMN08429411,88527700,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3624157,GSM2967715,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2018-03-07T00:00:00Z,GSM2967715,Brain,SRP131682,CD1,"dMGE,Brain"
SRR6636471,E14.5,RNA-Seq,100,178765000,PRJNA432054,SAMN08429410,112120815,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3624158,GSM2967716,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2018-03-07T00:00:00Z,GSM2967716,Brain,SRP131682,CD1,"dMGE,Brain"
SRR6636472,E14.5,RNA-Seq,100,199033100,PRJNA432054,SAMN08429409,124050335,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3624159,GSM2967717,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2018-03-07T00:00:00Z,GSM2967717,Brain,SRP131682,CD1,"dMGE,Brain"
SRR6636473,E14.5,RNA-Seq,100,224019600,PRJNA432054,SAMN08429407,138816344,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3624160,GSM2967718,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2018-03-07T00:00:00Z,GSM2967718,Brain,SRP131682,CD1,"dMGE,Brain"
SRR6636474,E14.5,RNA-Seq,100,299479900,PRJNA432054,SAMN08429406,185556957,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3624161,GSM2967719,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2018-03-07T00:00:00Z,GSM2967719,Brain,SRP131682,CD1,"dMGE,Brain"
SRR6636475,E14.5,RNA-Seq,100,191494900,PRJNA432054,SAMN08429405,119290745,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3624162,GSM2967720,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2018-03-07T00:00:00Z,GSM2967720,Brain,SRP131682,CD1,"dMGE,Brain"
SRR6636476,E14.5,RNA-Seq,100,185339300,PRJNA432054,SAMN08429404,115463060,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3624163,GSM2967721,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2018-03-07T00:00:00Z,GSM2967721,Brain,SRP131682,CD1,"dMGE,Brain"
SRR6636477,E14.5,RNA-Seq,100,139875800,PRJNA432054,SAMN08429403,87694494,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3624164,GSM2967722,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2018-03-07T00:00:00Z,GSM2967722,Brain,SRP131682,CD1,"dMGE,Brain"
SRR6636478,E14.5,RNA-Seq,100,112770900,PRJNA432054,SAMN08429402,70846941,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3624165,GSM2967723,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2018-03-07T00:00:00Z,GSM2967723,Brain,SRP131682,CD1,"dMGE,Brain"
SRR6636479,E14.5,RNA-Seq,100,133240100,PRJNA432054,SAMN08429401,83140719,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3624166,GSM2967724,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2018-03-07T00:00:00Z,GSM2967724,Brain,SRP131682,CD1,"dMGE,Brain"
SRR6636480,E14.5,RNA-Seq,100,183525700,PRJNA432054,SAMN08429400,114820502,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3624167,GSM2967725,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2018-03-07T00:00:00Z,GSM2967725,Brain,SRP131682,CD1,"dMGE,Brain"
SRR6636481,E14.5,RNA-Seq,100,181888200,PRJNA432054,SAMN08429399,112994664,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3624168,GSM2967726,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2018-03-07T00:00:00Z,GSM2967726,Brain,SRP131682,CD1,"dMGE,Brain"
SRR6636482,E14.5,RNA-Seq,100,157026400,PRJNA432054,SAMN08429398,97844263,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3624169,GSM2967727,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2018-03-07T00:00:00Z,GSM2967727,Brain,SRP131682,CD1,"dMGE,Brain"
SRR6636483,E14.5,RNA-Seq,100,100551900,PRJNA432054,SAMN08429397,61609583,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3624170,GSM2967728,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2018-03-07T00:00:00Z,GSM2967728,Brain,SRP131682,CD1,"dMGE,Brain"
SRR6636484,E14.5,RNA-Seq,100,117992500,PRJNA432054,SAMN08429396,73978118,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3624171,GSM2967729,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2018-03-07T00:00:00Z,GSM2967729,Brain,SRP131682,CD1,"dMGE,Brain"
SRR6636485,E14.5,RNA-Seq,100,87745700,PRJNA432054,SAMN08429395,65435329,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3624172,GSM2967730,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2018-03-07T00:00:00Z,GSM2967730,Brain,SRP131682,CD1,"dMGE,Brain"
SRR6636486,E14.5,RNA-Seq,100,158157800,PRJNA432054,SAMN08429394,98605453,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3624173,GSM2967731,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2018-03-07T00:00:00Z,GSM2967731,Brain,SRP131682,CD1,"dMGE,Brain"
SRR6636487,E14.5,RNA-Seq,100,104416200,PRJNA432054,SAMN08429393,65528019,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3624174,GSM2967732,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2018-03-07T00:00:00Z,GSM2967732,Brain,SRP131682,CD1,"dMGE,Brain"
